"Gene","Non-unique Gene name","Annotation","No. isolates","No. sequences","Avg sequences per isolate","Genome Fragment","Order within Fragment","Accessory Fragment","Accessory Order with Fragment","QC","Min group size nuc","Max group size nuc","Avg group size nuc","573.12859","573.12860","573.12862"
"group_10","","hypothetical protein","3","3","1","12","83","","","","989","992","990","573.12859_04594","573.12860_04983","573.12862_04530"
"group_100","","hypothetical protein","3","3","1","4","316","","","Hypothetical protein with no hits to refseq/uniprot/clusters/cdd/tigrfams/pfam overlapping another protein with hits","329","329","329","573.12859_00692","573.12860_01066","573.12862_00662"
"group_101","","hypothetical protein","3","3","1","4","206","","","","725","749","733","573.12859_00776","573.12860_00983","573.12862_00579"
"group_102","","hypothetical protein","3","3","1","4","96","","","","284","284","284","573.12859_00874","573.12860_00874","573.12862_00470"
"epsL","","Type II secretion system protein L","3","3","1","4","64","","","","1163","1214","1180","573.12859_00905","573.12860_03739","573.12862_03773"
"group_104","","hypothetical protein","3","3","1","1","736","","","","2477","2477","2477","573.12859_00969","573.12860_00581","573.12862_05079"
"group_105","","hypothetical protein","3","3","1","1","738","","","","470","470","470","573.12859_00971","573.12860_00583","573.12862_05077"
"group_106","","hypothetical protein","3","3","1","1","755","","","","362","362","362","573.12859_00986","573.12860_00598","573.12862_01188"
"group_114","","hypothetical protein","3","3","1","1","680","","","","215","221","217","573.12859_01032","573.12860_00642","573.12862_01144"
"tesA","","hypothetical protein","3","3","1","1","666","","","","593","1181","985","573.12859_01047","573.12860_00656","573.12862_01129"
"gabR_1","","HTH-type transcriptional regulatory protein GabR","3","3","1","1","632","","","","1406","1451","1436","573.12859_01081","573.12860_00690","573.12862_01095"
"sbmA","","Peptide antibiotic transporter SbmA","3","3","1","1","512","","","","1088","1220","1176","573.12859_01201","573.12860_00810","573.12862_00975"
"ecpB","","putative fimbrial chaperone EcpB","3","3","1","1","485","","","","668","668","668","573.12859_01229","573.12860_00837","573.12862_00948"
"group_119","","putative phosphatase","3","3","1","1","477","","","","665","665","665","573.12859_01237","573.12860_00845","573.12862_05033"
"nfsA","","Oxygen-insensitive NADPH nitroreductase","3","3","1","1","1199","","","","329","722","460","573.12859_00461","573.12860_00280","573.12862_04167"
"pknK","","Serine/threonine-protein kinase PknK","3","3","1","1","458","","","","2765","2765","2765","573.12859_01251","573.12860_00864","573.12862_04221"
"pdhC","","Dihydrolipoyllysine-residue acetyltransferase component of pyruvate dehydrogenase complex","3","3","1","1","452","","","","1088","1535","1386","573.12859_01254","573.12860_05462","573.12862_04224"
"group_122","","hypothetical protein","3","3","1","1","450","","","","215","251","239","573.12859_01256","573.12860_04788","573.12862_04226"
"gstB_4","","Glutathione S-transferase GstB","3","3","1","1","443","","","","638","638","638","573.12859_01263","573.12860_04781","573.12862_04233"
"hemW","","Heme chaperone HemW","3","3","1","2","693","","","","1136","1139","1137","573.12859_01322","573.12860_01488","573.12862_00103"
"group_125","","hypothetical protein","3","3","1","2","552","","","","272","272","272","573.12859_01409","573.12860_01836","573.12862_00246"
