locus_tag	ftype	length_bp	gene	EC_number	COG	product
573.12859_00001	gene	2115	fusA_1			
573.12859_00001	CDS	2115	fusA_1		COG0480	Elongation factor G
573.12859_00002	gene	471	rpsG			
573.12859_00002	CDS	471	rpsG		COG0049	30S ribosomal protein S7
573.12859_00003	gene	375	rpsL			
573.12859_00003	CDS	375	rpsL		COG0048	30S ribosomal protein S12
573.12859_00004	gene	288	tusB			
573.12859_00004	CDS	288	tusB		COG2168	Protein TusB
573.12859_00005	gene	360	tusC			
573.12859_00005	CDS	360	tusC		COG2923	Protein TusC
573.12859_00006	gene	387	tusD			
573.12859_00006	CDS	387	tusD	2.8.1.-	COG1553	Sulfurtransferase TusD
573.12859_00007	gene	723	dauR			
573.12859_00007	CDS	723	dauR		COG2964	Transcriptional regulator DauR
573.12859_00008	gene	831	fkpA			
573.12859_00008	CDS	831	fkpA	5.2.1.8	COG0545	FKBP-type peptidyl-prolyl cis-trans isomerase FkpA
573.12859_00009	gene	219	slyX			
573.12859_00009	CDS	219	slyX		COG2900	Protein SlyX 
573.12859_00010	gene	588				
573.12859_00010	CDS	588				hypothetical protein
573.12859_00011	gene	201				
573.12859_00011	CDS	201				hypothetical protein
573.12859_00012	gene	1806	kefC_1			
573.12859_00012	CDS	1806	kefC_1		COG0475	Glutathione-regulated potassium-efflux system protein KefC
573.12859_00013	gene	561	ywrO			
573.12859_00013	CDS	561	ywrO	1.6.99.-	COG2249	General stress protein 14
573.12859_00014	gene	1905	yheS_1			
573.12859_00014	CDS	1905	yheS_1		COG0488	putative ABC transporter ATP-binding protein YheS
573.12859_00015	gene	1023				
573.12859_00015	CDS	1023				hypothetical protein
573.12859_00016	gene	219				
573.12859_00016	CDS	219				hypothetical protein
573.12859_00017	gene	870	cfxP			
573.12859_00017	CDS	870	cfxP	2.7.1.19	COG3954	Phosphoribulokinase, plasmid
573.12859_00018	gene	405	yhfA			
573.12859_00018	CDS	405	yhfA		COG1765	Protein YhfA
573.12859_00019	gene	633	crp			
573.12859_00019	CDS	633	crp		COG0664	cAMP-activated global transcriptional regulator CRP
573.12859_00020	gene	2079				
573.12859_00020	CDS	2079				hypothetical protein
573.12859_00021	gene	1221	argD			
573.12859_00021	CDS	1221	argD	2.6.1.11	COG4992	Acetylornithine/succinyldiaminopimelate aminotransferase
573.12859_00022	gene	564	pabA			
573.12859_00022	CDS	564	pabA	2.6.1.85	COG0512	Aminodeoxychorismate synthase component 2
573.12859_00023	gene	603	fic			
573.12859_00023	CDS	603	fic	2.7.7.-	COG2184	putative protein adenylyltransferase Fic
573.12859_00024	gene	168	yhfG			
573.12859_00024	CDS	168	yhfG			putative protein YhfG
573.12859_00025	gene	570	ppiA			
573.12859_00025	CDS	570	ppiA	5.2.1.8	COG0652	Peptidyl-prolyl cis-trans isomerase A
573.12859_00026	gene	1188	tsgA			
573.12859_00026	CDS	1188	tsgA		COG0477	Protein TsgA
573.12859_00027	gene	1323	codA_1			
573.12859_00027	CDS	1323	codA_1	3.5.4.1	COG0402	Cytosine deaminase
573.12859_00028	gene	102				
573.12859_00028	CDS	102				hypothetical protein
573.12859_00029	gene	2544	nasD			
